gene_47_34_29_77_14_74_87_94_80_38_76_60_40_27_15_60_92_4_21_32_88_47_50_83_24_32_40_45_12_45_89_27_77_51_66_0_52_96_5_31_51_37_61_9_60_38_92_23_89_86_84_4_20_17_41_73_84_27_59_75_80_34_18_79_44_96_3_8_51_62_64_29_94_14_31_70_93_13_45_95_7_59_19_75_54_37_40_31_13_40_4_65_58_82_42_46_67_7_29,6,0.15355,273.126
gene_12_65_2_39_17_81_65_9_64_0_45_75_27_27_95_35_6_26_45_1_34_30_91_97_21_32_2_7_6_35_95_0_79_13_11_4_17_100_69_12_34_62_90_41_44_81_22_47_42_2_26_5_52_95_37_27_37_61_10_81_27_64_59_38_81_32_65_74_38_60_55_38_15_15_13_70_79_0_19_90_64_97_20_100_18_95_14_45_34_72_61_51_50_73_82_88_86_18_15,9,0.190272,260.196
gene_27_0_14_70_19_51_26_97_34_40_44_43_67_71_73_60_55_3_77_94_100_42_76_47_17_82_16_41_25_47_17_24_3_13_16_37_24_18_19_48_14_61_22_36_5_22_11_79_68_59_15_4_43_16_15_27_83_73_9_36_29_62_60_40_83_72_42_19_51_28_48_63_52_0_21_83_72_24_40_20_62_25_8_6_93_50_45_31_66_76_70_24_50_74_77_77_82_94_28,11,0.149599,243.677
gene_46_48_69_64_9_53_16_88_1_7_8_84_69_34_63_88_8_2_38_47_3_96_23_45_28_30_56_50_12_32_91_25_23_21_85_7_56_36_79_60_21_62_56_71_56_25_87_42_68_31_14_4_39_85_53_8_22_40_89_88_75_57_12_83_35_34_17_79_51_27_64_29_70_22_19_21_93_29_23_7_68_54_27_62_12_3_29_34_16_80_70_47_54_58_70_41_88_76_34,11,0.128187,240.572
gene_92_0_18_66_13_51_16_0_34_40_67_24_48_66_50_86_8_4_77_35_34_40_76_60_25_48_37_7_26_47_17_6_3_13_15_37_24_16_77_58_11_34_66_37_41_37_67_37_79_59_49_17_43_45_15_27_84_76_9_45_29_62_50_83_98_58_87_89_1_58_15_96_47_0_24_83_62_58_26_39_62_18_12_2_93_84_62_30_95_37_15_23_68_74_34_29_66_87_28,4,0.124239,233.246
gene_77_84_78_12_0_14_50_81_36_82_23_60_19_7_73_10_68_18_39_0_81_40_7_42_28_95_60_2_66_15_24_4_5_13_61_100_48_94_19_60_5_30_66_39_77_54_18_9_40_94_10_2_44_17_33_67_90_74_16_68_69_59_49_85_54_28_42_53_41_51_68_29_11_1_30_65_89_18_43_94_0_43_17_70_51_3_39_42_15_27_8_6_58_60_35_42_82_13_36,6,0.139135,226.86
gene_96_29_72_3_9_74_56_38_63_4_47_24_48_64_51_32_100_9_47_2_34_40_85_37_15_32_49_85_74_56_0_45_77_43_8_8_23_16_55_58_15_37_62_0_71_33_5_25_68_57_53_19_22_44_0_12_84_76_13_45_76_0_46_49_26_95_50_88_38_68_55_25_72_0_49_32_75_17_23_39_59_18_76_31_78_80_62_30_100_31_15_65_5_59_34_52_82_92_1,12,0.133895,224.415
gene_95_37_89_63_7_0_5_85_43_22_73_19_48_82_73_30_8_12_35_7_90_45_6_34_96_9_59_2_46_9_45_0_78_22_89_1_18_71_48_25_14_87_61_50_92_36_21_47_68_64_85_0_42_23_32_24_24_78_100_41_53_28_26_81_51_81_51_50_69_77_67_43_25_30_26_3_0_21_31_42_0_49_60_69_5_94_25_45_17_49_94_95_50_60_38_27_39_54_24,6,0.176419,221.276
gene_98_93_79_89_0_33_30_47_85_0_74_92_40_44_61_37_70_1_77_50_42_53_19_25_40_40_40_2_15_6_72_31_20_23_92_4_50_64_67_20_51_91_5_9_60_38_8_60_42_57_85_4_18_85_62_73_84_27_17_11_31_36_31_68_97_30_3_42_51_34_57_29_94_42_0_64_93_18_19_94_11_9_19_33_7_37_24_43_45_53_32_71_91_65_24_42_84_8_35,13,0.127909,219.426
gene_75_17_89_93_10_85_10_91_31_99_7_87_85_89_48_32_55_92_67_18_33_42_56_24_38_65_49_67_46_18_92_41_72_11_13_70_58_27_49_60_15_9_61_70_41_25_93_48_64_78_87_30_47_76_49_77_23_7_95_75_77_11_65_79_54_30_6_92_38_31_65_25_25_14_62_5_94_77_28_4_9_14_87_70_59_97_31_35_19_39_65_54_26_68_37_15_81_63_28,15,0.146975,218.685
gene_100_17_62_70_8_73_29_10_32_12_46_97_32_66_55_27_87_54_12_100_90_51_75_50_13_58_5_55_71_5_13_18_46_74_48_63_89_54_44_34_43_88_100_37_69_33_90_24_73_57_45_52_22_100_42_59_66_61_6_96_53_2_50_35_41_24_46_92_40_19_53_29_10_15_24_90_73_75_18_44_7_52_19_48_22_69_48_34_12_36_7_24_90_100_71_39_47_64_100,16,0.119145,212.97
gene_100_20_78_13_9_48_50_94_55_87_76_94_100_100_16_44_11_10_38_36_32_51_75_64_30_24_10_97_74_55_100_4_81_61_93_0_20_96_75_74_27_40_61_37_60_49_21_6_42_67_5_2_44_63_21_73_31_14_9_41_24_61_5_78_97_32_37_53_3_29_55_38_5_19_90_70_20_29_19_38_54_74_27_73_54_3_44_29_12_7_6_6_73_82_25_42_28_65_37,9,0.134792,209.458
gene_24_65_70_49_10_91_28_74_62_55_53_79_48_66_95_52_10_12_37_3_29_53_19_40_35_81_21_15_15_33_100_41_9_80_89_8_15_58_44_29_31_92_66_86_60_53_15_20_82_70_75_4_47_40_33_63_77_65_13_72_31_28_60_75_9_27_48_63_53_68_75_29_52_22_63_71_12_16_27_98_56_22_91_57_75_37_8_31_45_45_89_24_53_67_45_57_81_14_40,11,0.121716,209.114
gene_95_24_78_12_6_77_87_86_55_5_23_94_70_11_19_44_82_18_38_4_34_70_2_42_28_32_5_2_66_28_100_4_80_61_13_0_23_96_17_41_31_36_61_9_77_24_29_3_38_94_14_2_44_17_21_73_90_75_100_68_33_61_87_85_97_4_39_92_51_29_68_28_13_24_31_70_75_29_43_94_63_68_82_71_54_78_39_37_13_31_4_51_71_82_29_65_66_71_36,5,0.129668,208.548
gene_41_93_79_12_5_51_80_44_63_88_74_99_91_29_77_32_10_1_53_50_3_70_23_43_23_78_47_2_66_49_23_11_34_40_87_100_22_16_51_14_8_66_56_91_77_44_8_57_70_27_27_79_45_85_41_62_13_75_23_55_37_5_32_73_13_32_6_95_67_31_64_29_94_21_90_85_79_55_47_100_59_72_23_71_10_54_41_38_16_72_63_68_57_64_68_27_84_56_40,8,0.138126,206.259
gene_94_5_58_70_36_79_23_85_0_45_35_31_27_22_49_86_20_52_72_10_100_66_91_55_35_32_2_7_8_40_17_91_78_79_84_0_18_94_69_60_44_87_93_10_43_36_11_24_68_58_15_78_6_17_16_39_25_15_30_41_74_72_60_38_54_53_51_73_59_22_59_29_15_21_21_83_69_75_31_99_68_97_29_2_4_95_28_48_37_80_92_22_7_97_77_78_80_94_40,9,0.125465,205.403
gene_24_17_8_94_13_75_26_40_34_9_58_69_60_90_70_30_0_46_53_6_96_47_42_38_30_63_15_36_77_56_100_6_77_0_15_3_56_100_21_66_6_37_80_37_49_58_0_25_34_33_45_17_47_94_59_65_87_79_9_70_28_2_52_83_88_0_67_19_38_68_50_96_39_37_48_28_66_27_48_34_7_27_12_75_84_69_60_31_15_0_15_24_21_57_46_41_82_48_31,9,0.13541,203.962
gene_28_37_62_70_51_67_54_8_58_13_47_98_48_86_49_36_15_4_28_4_34_51_21_47_28_32_49_0_14_45_39_17_34_28_70_16_10_98_80_60_10_32_95_37_60_32_69_43_89_7_19_22_1_38_53_54_35_11_99_67_23_39_38_88_13_27_7_87_83_38_36_86_9_55_62_28_73_27_20_100_64_10_19_89_55_3_41_31_22_49_1_51_2_74_51_50_88_79_15,8,0.125529,201.876
gene_13_38_62_89_100_74_53_54_40_88_75_95_3_29_73_5_10_12_22_4_7_45_79_42_13_57_44_11_12_49_17_91_5_73_41_58_2_16_15_28_5_57_66_50_33_54_40_81_42_64_28_97_42_97_41_42_91_82_100_66_31_28_26_86_92_81_46_20_40_74_57_20_36_30_31_70_93_59_31_37_0_27_51_65_15_95_76_38_64_75_76_55_49_59_26_50_23_8_40,8,0.127207,194.294
gene_100_42_89_96_16_37_10_98_36_4_47_85_83_54_48_22_10_64_99_0_45_42_7_24_61_42_45_7_46_10_92_28_46_33_88_75_58_71_49_60_42_57_61_70_70_44_75_13_90_58_85_50_42_4_49_77_23_14_86_4_54_11_50_66_36_28_46_8_38_78_73_25_25_0_62_3_79_16_42_96_65_1_22_70_22_94_74_76_64_53_13_46_51_68_79_88_96_66_19,13,0.121266,193.337
gene_24_77_70_4_10_36_8_74_62_55_7_81_41_86_52_35_98_11_40_42_29_51_19_47_86_32_99_42_66_6_100_89_1_57_25_52_14_54_19_77_31_48_95_40_60_24_26_19_29_85_14_4_45_65_41_75_12_79_100_41_43_61_60_71_5_27_52_90_53_68_57_32_90_22_63_70_70_24_34_74_67_59_18_57_55_29_6_100_45_45_36_24_50_67_45_65_15_75_40,12,0.136839,190.802
gene_25_84_67_5_18_75_89_74_57_59_26_75_78_27_70_85_8_46_38_1_96_85_21_38_33_48_5_3_73_38_21_34_77_22_15_20_63_100_69_38_20_37_80_17_6_49_5_23_29_58_23_17_49_0_37_65_34_11_0_68_35_4_76_86_30_27_67_87_38_80_50_88_14_8_62_21_79_73_31_96_64_52_27_42_55_36_47_31_10_31_99_30_54_57_46_41_94_48_40,10,0.132974,190.705
gene_14_32_32_77_13_75_54_54_0_84_77_92_19_64_74_37_70_100_77_40_7_70_76_44_24_95_40_25_71_13_16_27_47_18_88_42_2_32_71_55_51_37_5_95_71_38_3_25_96_57_84_31_47_19_59_2_91_27_59_11_39_33_49_53_97_81_3_95_51_34_57_42_94_42_90_24_8_6_19_95_7_17_13_74_56_4_40_43_45_44_65_31_71_59_26_42_78_71_54,9,0.106541,186.189
gene_91_16_31_12_6_74_87_94_0_5_23_60_19_1_54_32_100_16_23_1_34_34_1_40_23_80_46_0_12_38_21_4_38_57_15_67_14_96_19_18_5_96_68_8_41_35_67_61_38_94_14_2_20_17_33_74_91_6_100_82_36_65_49_42_54_28_42_37_51_62_74_33_10_0_9_21_17_17_43_88_59_22_19_74_51_76_52_33_16_27_71_93_58_57_28_47_66_13_36,13,0.119529,185.939
